Geneid	A549.rna_seq.DMSO.dex.00h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.00h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.00h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.01h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.01h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.01h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.04h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.DMSO.dex.04h.rep2.star2.Aligned.out.sorted.bam	Sarah_1.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.00h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.00h.rep2.star2.Aligned.out.sorted.bam	Sarah_2.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.01h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.01h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.01h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.04h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.04h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.JNJ.dex.04h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.00h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.00h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.00h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.01h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.01h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.01h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.04h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.04h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.Rom.dex.04h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.00h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.00h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.00h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.01h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.01h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.01h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.04h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.04h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.SAHA.dex.04h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.00h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.00h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.00h.rep3.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.01h.rep1.star2.Aligned.out.sorted.bam	Sarah_3.star2.Aligned.out.sorted.bam	Sarah_4.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.04h.rep1.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.04h.rep2.star2.Aligned.out.sorted.bam	A549.rna_seq.TSA.dex.04h.rep3.star2.Aligned.out.sorted.bam
ENSG00000238009.5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	1	0	2	1	0	0	0	0
ENSG00000241860.5	24	44	30	29	27	24	23	27	47	25	17	66	28	18	31	25	21	14	31	45	41	44	24	31	0	44	52	32	29	41	43	36	37	50	34	32	57	54	38	32	94	108	21	24	17
ENSG00000222623.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273874.1	0	3	0	0	0	0	0	0	0	0	2	0	3	1	0	1	0	0	0	0	0	2	0	0	0	1	2	1	0	1	0	0	0	0	1	0	1	0	1	2	0	0	0	0	1
ENSG00000228463.7	23	28	20	25	25	15	7	12	8	14	20	9	22	14	30	19	20	8	34	62	81	55	43	54	0	72	63	54	42	52	51	46	43	47	38	54	77	68	60	42	18	15	52	30	27
ENSG00000236743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278566.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276171.1	0	1	4	3	2	1	2	0	0	1	1	0	1	0	6	1	1	0	6	10	4	4	0	1	0	4	2	1	1	5	2	3	3	2	1	3	5	3	6	4	0	0	0	2	3
ENSG00000278791.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228327.2	41	59	49	29	40	28	37	30	30	52	23	57	42	35	47	19	41	14	28	49	69	45	28	46	0	46	50	16	31	46	47	44	27	36	25	27	79	48	34	41	56	82	24	26	31
ENSG00000237491.7	60	81	78	38	44	26	39	23	16	77	53	28	70	40	69	55	54	33	45	61	74	55	42	54	0	63	62	58	24	46	63	65	46	59	34	37	94	70	53	50	27	21	46	48	33
ENSG00000228794.7	686	969	865	667	751	379	517	561	192	794	577	494	1031	411	968	662	824	365	871	1169	1406	1090	1003	1001	0	1285	1521	853	533	747	904	701	559	672	618	786	1852	1328	1040	946	413	458	668	739	411
ENSG00000230699.2	167	272	240	284	239	136	164	133	18	246	176	10	234	215	276	145	271	90	47	46	84	43	33	43	0	62	58	61	21	59	58	56	33	33	31	25	86	82	55	51	1	1	43	38	26
ENSG00000272512.1	289	375	326	130	198	96	89	103	9	248	194	28	227	130	240	172	172	70	212	275	344	177	147	235	0	223	281	201	151	239	160	120	93	110	117	155	394	295	230	167	9	9	104	107	86
ENSG00000217801.8	286	410	323	253	251	114	179	158	60	312	195	102	335	168	323	272	285	106	3374	4290	5396	3748	3351	3390	11	4232	4583	2915	1869	2656	2913	2559	1674	1969	1613	2306	5729	4116	3283	2980	705	1029	2122	2181	1295
ENSG00000273443.1	15	23	20	10	14	8	10	4	0	13	9	5	7	2	15	9	10	6	34	34	75	31	49	41	0	31	31	45	31	31	38	46	23	31	22	33	66	58	53	36	9	10	20	24	12
